Threads		Aceleração Open_MP  	Tempo Linear 	Aceleração Pthread
1			0.992       			1    			0.903				
2	    	1.692       			2 				1.602
3			2.130       			3 				2.057
4			2.211       			4				1.962
5			2.133       			5 				1.536
6			2.300       			6 				1.570
7			2.250       			7				1.112
8			2.241       			8				0.790
